tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
2018-M-DC-2018-G1-AM-M-COL-BAR-01,20180202
2018-M-DC-2018-G1-AM-M-DOM-BRA-01,20180202
2018-M-DC-2018-G1-AO-M-KOR-PAK-01,20180202
2018-M-DC-2018-G1-EPA-M-RSA-ISR-01,20180202
2018-M-DC-2018-G1-EPA-M-UKR-SWE-01,20180202
2018-M-DC-2018-WG-M-AUS-GER-01,20180202
2018-M-DC-2018-WG-M-CAN-CRO-01,20180202
2018-M-DC-2018-WG-M-FRA-NED-01,20180202
2018-M-DC-2018-WG-M-GBR-ESP-01,20180202
2018-M-DC-2018-WG-M-HUN-BEL-01,20180202
2018-M-DC-2018-WG-M-ITA-JPN-01,20180202
2018-M-DC-2018-WG-M-KAZ-SUI-01,20180202
2018-M-DC-2018-WG-M-USA-SRB-01,20180202
2018-M-DC-2018-G2-AM-M-BOL-PER-01,20180203
2018-M-DC-2018-G2-EPA-M-EGY-NOR-01,20180203
2018-M-DC-2018-G2-AM-M-ESA-URU-01,20180203
2018-M-DC-2018-G2-EPA-M-EST-LTU-01,20180203
2018-M-DC-2018-G2-EPA-M-GEO-MAR-01,20180203
2018-M-DC-2018-G2-AO-M-IRI-HKG-01,20180203
2018-M-DC-2018-G2-EPA-M-IRL-DEN-01,20180203
2018-M-DC-2018-G2-AO-M-LBN-TPE-01,20180203
2018-M-DC-2018-G2-AO-M-PHI-INA-01,20180203
2018-M-DC-2018-G2-AM-M-PUR-MEX-01,20180203
2018-M-DC-2018-G2-EPA-M-ROU-LUX-01,20180203
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,20180203
2018-M-DC-2018-G2-AO-M-THA-SRI-01,20180203
2018-M-DC-2018-G2-EPA-M-TUN-FIN-01,20180203
2018-M-DC-2018-G2-EPA-M-TUR-ZIM-01,20180203
2018-M-DC-2018-G2-AM-M-VEN-GUA-01,20180203
2018-0375,20180205
2018-7161,20180205
2018-7434,20180205
2018-0506,20180212
2018-0424,20180212
2018-0407,20180212
2018-0499,20180219
2018-0496,20180219
2018-6932,20180219
2018-M004,20180226
2018-0495,20180226
